cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/original.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;-;-;-;-;-;ok;ok;negative;-;255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);JPEG image data;76 kB;;image/jpeg;1.01;Progressive DCT/ Huffman coding;3;1024x768;0.786;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 2QfR :@4S 2Qfv0 o= " ;76 KB (78108 bytes);d3edd490a8fedfdfe9459bd494e7806929d3a4aa;255 (1);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);119.516 (0.46869);60.7579 (0.238266);-0.828063;-0.0585302;0.958511
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/jsteg/shortEbd-noKey.jpg;ce06a04489d4cf2790407faf57415dfaa3c93862;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 88152 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;252.512 (0.990243);252.512 (0.990245);252.72 (0.99106);250.925 (0.98402);250.871 (0.983807);252.234 (0.989151);251.987 (0.988186);252.512 (0.990243);252.103 (0.988639);252.165 (0.988884);252.109 (0.988661);251.964 (0.988094);251.496 (0.986259);251.98 (0.988157);JPEG image data;79 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;1024x768;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz HR~Tv ;78 KB (80811 bytes);-;252.535 (0.990333);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);119.516 (0.46869);60.7577 (0.238266);-0.828094;-0.0585103;0.95852
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/jsteg/middleEbd-noKey.jpg;2d0832a95253bb0c5acaf4bd02b3fa6a5420604a;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 88152 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;222.029 (0.870702);222.037 (0.870733);222.67 (0.873216);209.93 (0.823255);211.343 (0.828796);226.357 (0.887674);222.436 (0.872297);222.028 (0.870698);219.058 (0.859051);219.118 (0.859287);218.798 (0.85803);217.095 (0.851354);213.292 (0.836441);218.772 (0.857931);JPEG image data;79 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;1024x768;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz HR~Tv ;78 KB (80812 bytes);-;222.315 (0.871825);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);119.516 (0.468691);60.7647 (0.238293);-0.827886;-0.0585646;0.958763
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/jsteg/longEbd-noKey.jpg;93d437cfcc0cf3f4b8c908c277c48859c98c9a2d;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 84930 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;76 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;1024x768;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz HR~Tv ;76 KB (77824 bytes);-;151.354 (0.593545);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);118.721 (0.465574);59.495 (0.233314);-0.756102;-0.0569312;0.951763
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/jsteg/lowEntropyEbd-noKey.jpg;1fd40944ed7463b43ff091fc21f840e1d7ce3272;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;outguess(old)(*);Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 85071 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;76 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;1024x768;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz HR~Tv ;76 KB (77824 bytes);-;157.995 (0.619587);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);118.749 (0.465681);59.4684 (0.233209);-0.760589;-0.0595325;0.951751
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/jsteg/binaryEbd-noKey.jpg;da39460411b510d648ffede07265b2942f93d802;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 84977 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;76 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;1024x768;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz HR~Tv ;76 KB (77824 bytes);-;162.873 (0.638718);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);118.747 (0.465675);59.422 (0.233027);-0.763635;-0.0620164;0.951799
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/outguess/shortEbd-noKey.jpg;0366300834e101c64c7a1c1a5a86802234d58d19;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;248.006 (0.972574);247.933 (0.972287);247.927 (0.972263);241.662 (0.947694);242.069 (0.949289);248.099 (0.972939);243.658 (0.955521);246.161 (0.965337);245.423 (0.962443);245.17 (0.961452);245.582 (0.963066);245.024 (0.96088);243.289 (0.954074);244.626 (0.959316);JPEG image data;79 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;1024x768;0.786;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;78 KB (80856 bytes);0366300834e101c64c7a1c1a5a86802234d58d19;246.097 (0.965088);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);119.52 (0.468705);60.7533 (0.238248);-0.828529;-0.0583146;0.958663
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/outguess/middleEbd-noKey.jpg;feb8373f9fea1e3d81befbceb7251f6427c67ffd;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;160.382 (0.628949);160.286 (0.628572);159.8 (0.626667);111.671 (0.437926);115.398 (0.452541);178.118 (0.698502);138.399 (0.54274);142.431 (0.558552);136.242 (0.534283);136.754 (0.536292);136.877 (0.536774);133.384 (0.523076);121.574 (0.47676);134.906 (0.529043);JPEG image data;79 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;1024x768;0.786;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;79 KB (81073 bytes);feb8373f9fea1e3d81befbceb7251f6427c67ffd;142.701 (0.559611);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);119.53 (0.468744);60.7686 (0.238308);-0.829206;-0.0579294;0.95887
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bb-IMG-20220624-WA0004.jpg;d3edd490a8fedfdfe9459bd494e7806929d3a4aa;/data/out-stego-attrib/_bb-IMG-20220624-WA0004/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
